sno,item_id,dish_name,image,cat_name,URL1,URL2,URL3,copyright
140,f664620c4ecd68b33f9b2d7800e2b266_7178f6d986486fecd00a1b6676e05e0f,Iced lemon blueberry,0,Soda and Floats,https://get.pxhere.com/photo/plant-fruit-berry-ice-food-produce-beverage-drink-cocktail-martini-straws-blueberries-straw-fruits-drinks-liqueur-flowering-plant-alcoholic-beverage-drinking-glasses-distilled-beverage-995665.jpg,https://p1.pxfuel.com/preview/886/591/697/lemon-mint-drink-fresh-cold-refreshment.jpg,https://p0.pxfuel.com/preview/952/152/57/cocktail-beverage-lemon-ice.jpg,0
141,f664620c4ecd68b33f9b2d7800e2b266_7b476ab69e5b04d71605e888d424f73c,Iced lemon laychee,0,Soda and Floats,https://p1.pxfuel.com/preview/763/864/903/beverages-cold-drink-fresh-ice-lychee.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1a/Lychee_sorbet_black_tea.jpg,https://p1.pxfuel.com/preview/790/351/581/transparent-color-ice-lemon-refreshment-royalty-free-thumbnail.jpg,0
142,f664620c4ecd68b33f9b2d7800e2b266_5865ad4e456804d38711849eeec146b1,Iced lemon blue lagoon,0,Soda and Floats,https://upload.wikimedia.org/wikipedia/commons/5/54/Adios_Motherfucker_Cocktail.jpg,https://c1.wallpaperflare.com/preview/482/852/994/lemonade-lemon-ade-blue-lemon-ade-blue-lemonade.jpg,https://p0.pxfuel.com/preview/952/152/57/cocktail-beverage-lemon-ice.jpg,0
143,f664620c4ecd68b33f9b2d7800e2b266_5d2e181b7a7ba795e4c256b3e1d7654c,Coffee caramel frappe,0,Ice Blended and Shakes,https://c0.wallpaperflare.com/preview/420/792/980/caramel-coffee-cream-creamy.jpg,https://live.staticflickr.com/7273/7458352668_0d5a6931f2_b.jpg,https://c1.wallpaperflare.com/preview/172/68/848/coffee-cream-straw-frappuccino.jpg,0
144,f664620c4ecd68b33f9b2d7800e2b266_21bad61bc3840b463d128d705c194218,Coffee ice cream frappe,0,Ice Blended and Shakes,https://c1.wallpaperflare.com/preview/95/401/65/iced-coffee-ice-ice-cream-cream.jpg,https://cdn.pixabay.com/photo/2017/05/11/19/49/iced-coffee-2305203_960_720.jpg,https://c1.wallpaperflare.com/preview/172/68/848/coffee-cream-straw-frappuccino.jpg,0
145,f664620c4ecd68b33f9b2d7800e2b266_687afebc205c0920b116041af29c5a89,cappucinno  frappe,0,Ice Blended and Shakes,https://get.pxhere.com/photo/table-coffee-blur-glass-cup-cappuccino-decoration-meal-food-saucer-drink-chocolate-milk-dessert-cream-delicious-still-life-dairy-product-close-up-wooden-table-indoors-focus-traditional-flavor-flower-vase-frappe-951371.jpg,https://cdn.pixabay.com/photo/2018/12/03/21/40/cappuccino-3854326_960_720.jpg,https://c1.wallpaperflare.com/preview/255/386/525/latte-art-coffee-latte-flatwhite.jpg,0
146,f664620c4ecd68b33f9b2d7800e2b266_86a00ed16141d8929d1bced5c3c25dcf,mocha cola frappe,0,Ice Blended and Shakes,https://c1.wallpaperflare.com/preview/299/127/632/coffee-milkshake-drink-food.jpg,https://c1.wallpaperflare.com/preview/95/401/65/iced-coffee-ice-ice-cream-cream.jpg,https://c0.wallpaperflare.com/preview/590/251/603/cola-beverage-brand-can.jpg,0
147,f664620c4ecd68b33f9b2d7800e2b266_6234930667d79cdbcfdd90118d824b69,mocha frappe,0,Ice Blended and Shakes,https://live.staticflickr.com/1209/5116545544_1879f689f0_b.jpg,https://c1.wallpaperflare.com/preview/299/127/632/coffee-milkshake-drink-food.jpg,https://live.staticflickr.com/7547/15895559425_4622a0efca_z.jpg,0
148,f664620c4ecd68b33f9b2d7800e2b266_81fbf1f7d30af8d62337813ed0a61a03,yam coffee frappe,0,Ice Blended and Shakes,https://cdn.pixabay.com/photo/2017/05/11/19/52/iced-coffee-2305211_960_720.jpg,https://live.staticflickr.com/65535/48876464182_f9df54a924_b.jpg,https://upload.wikimedia.org/wikipedia/commons/5/53/Dalgona_coffee.jpg,0
149,f664620c4ecd68b33f9b2d7800e2b266_e0059a8e430d0db8498bd1d3e33a5f0a,Ice blended lemon blue lagoon,0,Ice Blended and Shakes,https://c1.wallpaperflare.com/preview/172/799/602/cocktails-colorful-drink-beverage.jpg,https://c0.wallpaperflare.com/preview/353/810/397/alcohol-beverage-black-background-blue.jpg,https://p1.pxfuel.com/preview/636/1015/763/cocktail-tropical-beverage-drink.jpg,0
